Hour,ElectricityLoad,WindAF,HeatLoad,COP
1,205,0.499479510785,78.0124223602,2.5
2,205,0.494795107848,72.298136646,2.5
3,203.75,0.494795107848,72.298136646,2.5
4,203.75,0.505243011484,72.3850931677,2.5
5,202.5,0.53537368424,92.6086956522,2.5
6,212.5,0.555562455471,93.3540372671,2.5
7,250,0.628348636916,95.5900621118,2.5
8,387.5,0.6461954549,86.0869565217,2.5
9,412.5,0.622400860956,92.1118012422,2.5
10,412.5,0.580111023006,71.9875776398,2.5
11,375,0.714935503018,69.4409937888,2.5
12,350,0.824880140759,66.4596273292,2.5
13,300,0.416551027874,64.7204968944,2.5
14,288.75,0.418463919582,63.3540372671,2.5
15,287.5,0.39525842857,62.1118012422,2.5
16,273.5,0.523097379857,61.9875776398,2.5
17,250,0.476699300008,64.9689440994,2.5
18,237.5,0.626077589123,64.4720496894,2.5
19,252.5,0.684294396661,66.5838509317,2.5
20,275,0.0598119722706,110.98757764,2.5
21,281.25,0.0446453658917,97.4409937888,2.5
22,256.25,0.485237701755,95.4596273292,2.5
23,237.5,0.49466503395,85.5900621118,2.5
24,212.5,0.499395813134,82.4223602484,2.5
